issueID,time,action,label,user,milestone,identifier
1,1456165383,closed,closed,group6/user1,1,560116067
1,1455824800,unlabeled,enhancement,group6/user1,1,555599258
1,1455824800,labeled,Web App,group6/user1,1,555599257
1,1455824583,assigned,group6/user1,group6/user1,1,555595042
1,1455824580,renamed,renamed,group6/user1,1,555594969
1,1455068397,labeled,enhancement,group6/user1,1,545202505
1,1455063442,milestoned,Web Scraping Application,group6/user1,1,545143060
2,1455907375,closed,closed,group6/user4,2,556946978
2,1455828472,unlabeled,enhancement,group6/user1,2,555675929
2,1455828472,labeled,Plugin,group6/user1,2,555675928
2,1455065711,milestoned,Solution 2: Plugin Development,group6/user4,2,545169802
2,1455065711,assigned,group6/user4,group6/user4,2,545169800
2,1455065711,labeled,enhancement,group6/user4,2,545169799
3,1456651894,closed,closed,group6/user4,1,569670583
3,1455828952,assigned,group6/user3,group6/user3,1,555685828
3,1455828952,unassigned,unassigned,group6/user1,1,555685827
3,1455824823,unlabeled,enhancement,group6/user1,1,555599694
3,1455824823,labeled,Web App,group6/user1,1,555599693
3,1455068376,assigned,group6/user1,group6/user1,1,545202249
3,1455068369,milestoned,Solution 1: Web Scraping Application,group6/user1,1,545202204
3,1455068365,labeled,enhancement,group6/user1,1,545202149
4,1455826685,assigned,group6/user1,group6/user1,1,555636033
4,1455826675,closed,closed,group6/user1,1,555635878
4,1455824879,unlabeled,enhancement,group6/user1,1,555600744
4,1455824879,labeled,Web App,group6/user1,1,555600743
4,1455764462,milestoned,Solution 1: Web Scraping Application,group6/user1,1,554528515
4,1455764462,labeled,enhancement,group6/user1,1,554528514
5,1456155585,closed,closed,group6/user1,1,559836766
5,1455828708,assigned,group6/user1,group6/user1,1,555680503
5,1455824863,unlabeled,enhancement,group6/user1,1,555600393
5,1455824863,labeled,Web App,group6/user1,1,555600392
5,1455764494,milestoned,Solution 1: Web Scraping Application,group6/user1,1,554528946
5,1455764494,labeled,enhancement,group6/user1,1,554528942
6,1456091898,closed,closed,group6/user1,1,558685945
6,1455824846,unlabeled,enhancement,group6/user1,1,555600113
6,1455824846,labeled,Web App,group6/user1,1,555600112
6,1455824450,assigned,group6/user1,group6/user1,1,555592484
6,1455764515,milestoned,Solution 1: Web Scraping Application,group6/user1,1,554529233
6,1455764515,labeled,enhancement,group6/user1,1,554529229
7,1456893419,closed,closed,group6/user3,1,574132754
7,1456893166,subscribed,subscribed,group6/user4,1,574130247
7,1456893166,mentioned,mentioned,group6/user4,1,574130246
7,1456797391,subscribed,subscribed,group6/user4,1,572276561
7,1456797391,mentioned,mentioned,group6/user4,1,572276560
7,1456790939,labeled,enhancement,group6/user3,1,572134943
7,1456789003,subscribed,subscribed,group6/user4,1,572094102
7,1456789003,mentioned,mentioned,group6/user4,1,572094101
7,1456733311,assigned,group6/user4,group6/user4,1,570628252
