issueID,time,action,label,user,milestone,identifier
1,1454425730,milestoned,Feb 1,group10/user1,1,535958162
1,1453073348,closed,closed,group10/user2,1,517418237
1,1452812525,assigned,group10/user3,group10/user3,1,515600495
2,1454425723,milestoned,Feb 1,group10/user1,1,535958031
2,1453849538,closed,closed,group10/user2,1,527259237
2,1452812629,assigned,group10/user4,group10/user4,1,515602206
3,1454425709,milestoned,Feb 1,group10/user1,1,535957679
3,1453849551,closed,closed,group10/user2,1,527259479
3,1452812793,assigned,group10/user5,group10/user5,1,515604405
4,1454425608,milestoned,Feb 1,group10/user1,1,535955571
4,1453849558,closed,closed,group10/user2,1,527259616
4,1452812904,assigned,group10/user2,group10/user2,1,515606158
5,1454425795,closed,closed,group10/user1,1,535959877
5,1454425762,milestoned,Feb 1,group10/user1,1,535959159
5,1453850360,assigned,group10/user5,group10/user5,1,527272354
6,1454425789,closed,closed,group10/user1,1,535959765
6,1454425754,milestoned,Feb 1,group10/user1,1,535958960
6,1453851807,assigned,group10/user2,group10/user2,1,527293782
6,1453850929,renamed,renamed,group10/user2,1,527281621
7,1454425779,closed,closed,group10/user1,1,535959592
7,1454425748,milestoned,Feb 1,group10/user1,1,535958835
7,1453851761,assigned,group10/user4,group10/user4,1,527293211
8,1454425773,closed,closed,group10/user1,1,535959454
8,1454425634,milestoned,Feb 1,group10/user1,1,535956196
8,1453851799,assigned,group10/user3,group10/user3,1,527293710
9,1454425800,closed,closed,group10/user1,1,535960004
9,1454425737,milestoned,Feb 1,group10/user1,1,535958346
10,1455061329,closed,closed,group10/user4,2,545113067
10,1454700532,assigned,group10/user4,group10/user4,2,541098510
10,1454700532,unassigned,unassigned,group10/user5,2,541098509
10,1454700528,assigned,group10/user5,group10/user5,2,541098427
10,1454700528,unassigned,unassigned,group10/user3,2,541098426
10,1454700524,assigned,group10/user3,group10/user3,2,541098368
10,1454700509,labeled,help wanted,group10/user1,2,541098143
10,1454700509,labeled,enhancement,group10/user1,2,541098142
10,1454700499,milestoned,Mar 1 http://se16.unbox.org/project/mar1.md,group10/user1,2,541097974
11,1456710526,closed,closed,group10/user1,2,570284477
11,1455061389,milestoned,Mar 1 http://se16.unbox.org/project/mar1.md,group10/user4,2,545113752
11,1455061389,assigned,group10/user3,group10/user3,2,545113751
12,1456710466,closed,closed,group10/user1,2,570283967
12,1455728571,demilestoned,Solution 2,group10/user1,2,553866088
